Project: 43-648_TMCJ_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner: INCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site: Site of Interest 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample: T91-8_QB-8_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type: Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID: T91-8_QB-8_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processing option : All elements analysed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectrum,Absolute stage X (mm).,Absolute stage Y (mm).,Stage X (mm).,Stage Y (mm).,Beam X (mm).,Beam Y (mm).,Weight% C K_SERIES,Weight% N K_SERIES,Weight% O K_SERIES,Weight% Al K_SERIES,Weight% Si K_SERIES,Weight% P K_SERIES,Weight% S K_SERIES,Weight% V K_SERIES,Weight% Cr K_SERIES,Weight% Mn K_SERIES,Weight% Fe K_SERIES,Weight% Ni K_SERIES,Weight% Nb L_SERIES,Weight% Mo L_SERIES,Weight%Total,Atomic% C K_SERIES,Atomic% N K_SERIES,Atomic% O K_SERIES,Atomic% Al K_SERIES,Atomic% Si K_SERIES,Atomic% P K_SERIES,Atomic% S K_SERIES,Atomic% V K_SERIES,Atomic% Cr K_SERIES,Atomic% Mn K_SERIES,Atomic% Fe K_SERIES,Atomic% Ni K_SERIES,Atomic% Nb L_SERIES,Atomic% Mo L_SERIES,Apparent conc.% C K_SERIES,Apparent conc.% N K_SERIES,Apparent conc.% O K_SERIES,Apparent conc.% Al K_SERIES,Apparent conc.% Si K_SERIES,Apparent conc.% P K_SERIES,Apparent conc.% S K_SERIES,Apparent conc.% V K_SERIES,Apparent conc.% Cr K_SERIES,Apparent conc.% Mn K_SERIES,Apparent conc.% Fe K_SERIES,Apparent conc.% Ni K_SERIES,Apparent conc.% Nb L_SERIES,Apparent conc.% Mo L_SERIES,k ratio C K_SERIES,k ratio N K_SERIES,k ratio O K_SERIES,k ratio Al K_SERIES,k ratio Si K_SERIES,k ratio P K_SERIES,k ratio S K_SERIES,k ratio V K_SERIES,k ratio Cr K_SERIES,k ratio Mn K_SERIES,k ratio Fe K_SERIES,k ratio Ni K_SERIES,k ratio Nb L_SERIES,k ratio Mo L_SERIES,Intensity correction C K_SERIES,Intensity correction N K_SERIES,Intensity correction O K_SERIES,Intensity correction Al K_SERIES,Intensity correction Si K_SERIES,Intensity correction P K_SERIES,Intensity correction S K_SERIES,Intensity correction V K_SERIES,Intensity correction Cr K_SERIES,Intensity correction Mn K_SERIES,Intensity correction Fe K_SERIES,Intensity correction Ni K_SERIES,Intensity correction Nb L_SERIES,Intensity correction Mo L_SERIES,Standard C K_SERIES,Standard N K_SERIES,Standard O K_SERIES,Standard Al K_SERIES,Standard Si K_SERIES,Standard P K_SERIES,Standard S K_SERIES,Standard V K_SERIES,Standard Cr K_SERIES,Standard Mn K_SERIES,Standard Fe K_SERIES,Standard Ni K_SERIES,Standard Nb L_SERIES,Standard Mo L_SERIES,Peak area Noise 1,Peak area Noise 2,Peak area Noise 3,Peak area C K_SERIES,Peak area N K_SERIES,Peak area O K_SERIES,Peak area Al K_SERIES,Peak area Si K_SERIES,Peak area P K_SERIES,Peak area S K_SERIES,Peak area V K_SERIES,Peak area V L_SERIES,Peak area Cr K_SERIES,Peak area Cr L_SERIES,Peak area Mn K_SERIES,Peak area Mn L_SERIES,Peak area Fe K_SERIES,Peak area Fe L_SERIES,Peak area Ni K_SERIES,Peak area Ni L_SERIES,Peak area Nb L_SERIES,Peak area Nb M_SERIES,Peak area Mo L_SERIES,Peak area Mo M_SERIES,Peak area sigma Noise 1,Peak area sigma Noise 2,Peak area sigma Noise 3,Peak area sigma C K_SERIES,Peak area sigma N K_SERIES,Peak area sigma O K_SERIES,Peak area sigma Al K_SERIES,Peak area sigma Si K_SERIES,Peak area sigma P K_SERIES,Peak area sigma S K_SERIES,Peak area sigma V K_SERIES,Peak area sigma V L_SERIES,Peak area sigma Cr K_SERIES,Peak area sigma Cr L_SERIES,Peak area sigma Mn K_SERIES,Peak area sigma Mn L_SERIES,Peak area sigma Fe K_SERIES,Peak area sigma Fe L_SERIES,Peak area sigma Ni K_SERIES,Peak area sigma Ni L_SERIES,Peak area sigma Nb L_SERIES,Peak area sigma Nb M_SERIES,Peak area sigma Mo L_SERIES,Peak area sigma Mo M_SERIES,Fit index Noise 1,Fit index Noise 2,Fit index Noise 3,Fit index C K_SERIES,Fit index N K_SERIES,Fit index O K_SERIES,Fit index Al K_SERIES,Fit index Si K_SERIES,Fit index P K_SERIES,Fit index S K_SERIES,Fit index V K_SERIES,Fit index V L_SERIES,Fit index Cr K_SERIES,Fit index Cr L_SERIES,Fit index Mn K_SERIES,Fit index Mn L_SERIES,Fit index Fe K_SERIES,Fit index Fe L_SERIES,Fit index Ni K_SERIES,Fit index Ni L_SERIES,Fit index Nb L_SERIES,Fit index Nb M_SERIES,Fit index Mo L_SERIES,Fit index Mo M_SERIES,Elevation (deg.),Tilt (deg.),Azimuth (deg.),Livetime (s),kV,Process time,Acqusition date/time,Optimization line,Optimization area,Optimization date/time,Number of iterations
"Grid Spectrum(10,4)",,,-0.398,-0.2275,0.0396455,0.0209888,4.229922,0.9057717,19.45924,0.2079719,0.2386491,-2.69E-02,0.5649686,0.2429008,8.026175,-0.2409163,51.50928,-7.74E-02,0.1188889,-0.5054513,84.65311,12.8631,2.361924,44.4248,0.2815289,0.3103576,-3.17E-02,0.6435748,0.1741588,5.638079,-0.1601717,33.68822,-4.81E-02,4.67E-02,-0.1924297,2.378975,0.3455168,31.01796,0.1422568,0.1916653,-3.33E-02,0.5396169,0.2384815,8.432172,-0.2180733,46.89045,-6.75E-02,8.86E-02,-0.3859536,1.10E-02,3.46E-03,0.1113266,1.05E-03,1.55E-03,-1.97E-04,4.74E-03,2.38E-03,8.43E-02,-2.18E-03,0.4689045,-6.75E-04,8.86E-04,-3.86E-03,0.562584,0.3814956,1.594148,0.6840206,0.8031268,1.237326,0.9551268,0.981806,1.050606,0.9051831,0.9102664,0.872471,0.7453081,0.7635821,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,698,-493,263,384,89,6065,117,150,-18,405,84,987,2523,550,-54,-277,9693,2501,-9,-350,51,-65,-216,52,140,211,107,71,90,212,50,54,66,145,56,337,100,365,59,263,167,182,35,72,141,57,288,71,0.59,0.61,0.59,1.28,1.61,1.18,0.31,0.48,0.65,0.55,0.54,1.34,0.54,1.11,0.66,1.11,0.83,2.29,0.37,3.3,0.47,1.33,0.5,1.31,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(11,4)",,,-0.398,-0.2275,0.051306,0.0209888,1.691722,0.4568708,19.56159,0.1045572,0.44502,-6.72E-04,-9.73E-02,0.4833062,12.7678,0.8619277,53.2046,-6.89E-02,0.1910574,0.6711321,90.27264,5.326875,1.233591,46.24173,0.1465557,0.599256,-8.21E-04,-0.114802,0.3588139,9.286859,0.5933635,36.03065,-4.44E-02,7.78E-02,0.2645642,0.9398295,0.1900977,33.11985,7.11E-02,0.3570181,-8.33E-04,-9.34E-02,0.4765289,13.35592,0.7920651,48.89651,-6.09E-02,0.1428611,0.5148687,4.34E-03,1.90E-03,0.1188704,5.23E-04,2.88E-03,-4.93E-06,-8.21E-04,4.77E-03,0.1335592,7.92E-03,0.4889651,-6.09E-04,1.43E-03,5.15E-03,0.5555739,0.4160931,1.693305,0.6795328,0.8022528,1.238616,0.9595729,0.9859771,1.046076,0.9189453,0.9190097,0.8840113,0.7477393,0.7671645,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,388,-271,189,109,35,4663,42,202,0,-51,121,859,2877,546,142,-268,7278,1844,-6,-263,59,-59,208,34,121,187,98,52,71,184,44,52,57,126,50,275,102,313,56,225,144,155,31,65,121,44,248,55,0.13,0.13,0.14,0.98,1.64,1.49,0.1,0.15,0.11,0.23,0.42,1.45,0.63,1.34,0.58,1.89,0.57,2.62,0.25,3.12,0.2,1.19,0.23,1.17,30,0,0,1.03,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(1,5)",,,-0.398,-0.2275,-0.0597015,0.0125933,0.6420503,-0.168372,6.561623,0.217326,0.1317543,-7.22E-02,-0.2088394,0.5244744,17.74866,0.5396299,41.28037,4.45E-02,-1.87E-02,0.61872,67.84093,3.419816,-0.7690201,26.23804,0.5152884,0.3001152,-0.149148,-0.4166848,0.6586598,21.83778,0.6283998,47.28862,4.84E-02,-1.29E-02,0.4125792,0.3451719,-6.98E-02,11.10589,0.1454094,0.1049202,-8.98E-02,-0.2027615,0.5274014,18.81171,0.5137822,38.74053,4.04E-02,-1.41E-02,0.4803015,1.60E-03,-6.98E-04,3.99E-02,0.0010711,8.46E-04,-5.32E-04,-1.78E-03,5.27E-03,0.1881171,5.14E-03,0.3874053,4.04E-04,-1.41E-04,4.80E-03,0.5376132,0.4143659,1.692587,0.6690849,0.7963321,1.243907,0.9708968,1.005581,1.059902,0.9521009,0.9384766,0.9078808,0.754356,0.7762828,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,412,-368,203,27,-9,1070,59,41,-24,-75,92,355,2773,211,63,12,3945,286,3,-172,-4,-42,132,40,147,229,115,25,38,121,24,26,35,81,40,182,93,180,48,114,105,73,21,38,75,25,158,30,0.13,0.13,0.14,0.09,0.09,0.04,0.82,0.89,0.42,0.29,1.03,0.09,1.25,0.08,0.89,0.5,0.52,1.62,0.19,2.88,0.66,0.1,0.53,0.1,30,0,0,0.7,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(2,5)",,,-0.398,-0.2275,-0.0536381,0.0125933,0.7747865,0.4833608,11.64761,0.1792325,7.35E-02,6.57E-02,-0.1534475,0.4246045,16.32195,0.3142755,43.12934,-1.90E-02,0.1156572,0.4278048,73.78541,3.326352,1.779474,37.54129,0.3425374,0.1350019,0.1094607,-0.2467785,0.4298075,16.18704,0.2949871,39.8234,-1.67E-02,6.42E-02,0.2299383,0.4280293,0.2060081,19.90128,0.120988,5.88E-02,8.18E-02,-0.1482901,0.4208747,17.08287,0.2939157,39.94015,-1.71E-02,8.70E-02,0.3305393,1.98E-03,2.06E-03,0.0714277,8.91E-04,4.74E-04,4.84E-04,-1.30E-03,4.21E-03,0.1708287,2.94E-03,0.3994015,-1.71E-04,8.70E-04,3.31E-03,0.5524576,0.4262043,1.708712,0.6750348,0.7998655,1.244198,0.96639,0.9912156,1.046631,0.9352165,0.9260558,0.8955339,0.7520781,0.7726405,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,599,-372,220,66,50,3686,94,44,42,-106,141,538,4843,421,70,-133,7822,1233,-2,-241,47,-25,175,39,135,208,106,45,61,160,40,45,56,121,56,237,127,268,66,189,150,128,32,57,117,41,238,50,0,0,0,0.19,0.34,0.38,0.23,0.25,0.24,0.06,0.33,0.33,0.43,0.36,0.62,0.66,0.84,1.97,0.87,2.93,0.22,0.24,0.22,0.24,30,0,0,1.35,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(3,5)",,,-0.398,-0.2275,-0.0419776,0.0125933,0.879446,1.51E-02,10.72571,2.53E-02,0.2029185,5.56E-02,0.1680918,0.3884281,14.92527,0.3782666,37.20636,-5.32E-02,0.2289878,-0.39714,64.74902,4.244426,6.23E-02,38.86172,5.43E-02,0.4188136,0.104036,0.303891,0.4420014,16.63954,0.3991298,38.61946,-5.26E-02,0.1428754,-0.2399567,0.4856734,6.40E-03,18.73728,1.71E-02,0.1627658,6.92E-02,0.1624109,0.3840411,15.55915,0.3531856,34.35947,-4.76E-02,0.1722125,-0.3067853,2.24E-03,6.40E-05,6.72E-02,1.26E-04,1.31E-03,4.10E-04,1.43E-03,3.84E-03,0.1555915,3.53E-03,0.3435947,-4.76E-04,1.72E-03,-3.07E-03,0.5522591,0.4249723,1.747054,0.6762521,0.8021244,1.244475,0.9662035,0.9887056,1.042479,0.9336946,0.9234825,0.8942118,0.7520595,0.7724864,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,575,-299,176,74,2,3471,13,121,35,116,129,648,4411,445,84,-159,6729,1361,-6,-168,93,-6,-163,26,130,197,98,44,59,159,39,45,51,110,50,231,122,268,65,191,139,130,29,56,107,40,216,49,0.09,0.1,0.1,0.26,0.57,0.76,0.39,0.23,0.08,0.58,1.1,0.76,1.06,0.81,1.3,1.16,1.12,2.03,0.46,2.77,0.46,0.43,0.58,0.37,30,0,0,1.35,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(4,5)",,,-0.398,-0.2275,-0.0303172,0.0125933,2.497331,0.5280991,21.44432,0.1049056,0.4144135,2.59E-02,-0.1712126,0.3408461,14.31025,0.054163,50.91167,0.3148142,0.6585889,0.9086657,92.34278,7.382061,1.338601,47.58831,0.1380401,0.5238715,2.97E-02,-0.1895827,0.2375544,9.771424,3.50E-02,32.36668,0.1903807,0.2516815,0.3362677,1.390283,0.2114009,35.40851,7.21E-02,0.3351485,3.23E-02,-0.1646202,0.3312881,14.73439,4.95E-02,46.42386,0.2773606,0.4939565,0.698472,6.43E-03,2.11E-03,0.1270847,5.31E-04,2.70E-03,1.91E-04,-1.45E-03,3.31E-03,0.1473439,4.95E-04,0.4642386,2.77E-03,4.94E-03,6.98E-03,0.5567685,0.4003169,1.651486,0.6875315,0.8087307,1.245021,0.9614959,0.9719577,1.029652,0.9133086,0.9118164,0.8810291,0.7500228,0.7686787,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,561,-368,260,213,52,6559,56,249,17,-117,111,1267,4177,909,12,-415,9092,2470,34,-293,267,-67,370,100,148,230,121,64,86,223,53,63,69,147,57,333,120,376,65,269,164,184,37,71,147,54,290,67,0.22,0.23,0.24,0.53,1.27,1.51,0.57,1.22,1.29,0.7,0.82,1.4,0.79,1.42,0.56,1.81,0.39,2.27,0.47,2.62,1.13,0.97,1.13,0.85,30,0,0,1.35,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(5,5)",,,-0.398,-0.2275,-0.0186567,0.0125933,4.581225,0.5059222,18.69524,7.91E-02,0.2883133,-7.25E-02,0.1657791,0.225164,13.53713,0.3094576,45.33085,0.1473979,5.24E-02,0.4127243,84.25816,14.1709,1.341942,43.41434,0.1088739,0.3813904,-8.69E-02,0.192091,0.164217,9.672787,0.2092779,30.15707,9.33E-02,2.09E-02,0.1598289,2.652324,0.1921158,30.14019,5.46E-02,0.2336652,-9.03E-02,0.1592856,0.2179766,13.86405,0.2808673,41.02772,0.128986,3.93E-02,0.3170255,1.23E-02,1.92E-03,0.1081762,4.02E-04,1.88E-03,-5.35E-04,1.40E-03,2.18E-03,0.1386405,2.81E-03,0.4102772,1.29E-03,3.93E-04,3.17E-03,0.5791334,0.3797534,1.612545,0.6904529,0.8104569,1.245999,0.9608302,0.968079,1.024167,0.9076108,0.9050117,0.8750867,0.7500671,0.7681285,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,557,-350,189,406,47,5583,43,174,-46,113,73,1096,3930,1135,66,-534,8035,2283,16,-350,21,-98,168,81,130,191,93,71,90,212,48,54,63,140,52,337,117,361,63,257,152,177,33,71,134,57,275,71,0.5,0.48,0.52,1.07,2.25,2.64,0.52,0.28,0.15,0.27,0.76,2.72,0.55,2.83,0.5,3.95,0.46,4.27,0.92,4.8,0.66,1.73,0.7,1.53,30,0,0,1.35,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(6,5)",,,-0.398,-0.2275,-0.0069963,0.0125933,8.172832,1.849664,35.61273,0.247643,0.208821,8.60E-02,1.219312,0.6901365,15.4641,0.419635,47.32969,0.2743869,0.2390808,-0.2015616,111.6125,15.9464,3.094688,52.16528,0.2150904,0.1742422,6.51E-02,0.8911815,0.3174886,6.969858,0.1790061,19.86108,0.1095268,6.03E-02,-4.92E-02,4.939804,0.6864985,53.95964,0.177406,0.1728811,0.1082721,1.169801,0.6423964,15.14226,0.3679389,41.46015,0.2342882,0.1797845,-0.1545742,2.28E-02,6.86E-03,0.1936666,1.31E-03,1.39E-03,6.41E-04,1.03E-02,6.42E-03,0.1514226,3.68E-03,0.4146015,2.34E-03,1.80E-03,-1.55E-03,0.6044057,0.3711453,1.515181,0.7163777,0.8278914,1.258476,0.9593946,0.9308252,0.979188,0.876807,0.8759884,0.8538608,0.751982,0.7668833,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,468,-296,263,756,168,9995,138,128,55,832,215,1727,4292,1120,87,-572,8120,3393,29,-363,97,-193,-82,187,149,227,117,93,120,273,63,70,81,204,55,446,123,460,65,322,155,219,39,86,180,71,398,89,0.47,0.48,0.48,1.67,2.34,2.07,1.18,1.06,0.93,0.9,0.24,2.29,0.25,2.11,0.27,2.4,0.54,2.68,0.69,2.59,1.07,1.81,1.13,1.75,30,0,0,1.35,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,5
"Grid Spectrum(7,5)",,,-0.398,-0.2275,0.0046642,0.0125933,8.7859,1.437075,32.74748,-1.07E-02,0.2039412,3.40E-02,0.4307911,0.5965819,12.79756,0.2617326,52.94569,-0.1480113,-3.10E-02,0.3796032,110.4307,17.7801,2.493799,49.75219,-9.61E-03,0.176499,2.67E-02,0.3265699,0.2846566,5.982524,0.1158009,23.044,-6.13E-02,-8.10E-03,0.0961739,5.399336,0.5245693,49.76197,-7.54E-03,0.1675913,4.26E-02,0.4127174,0.5639201,12.79756,0.2308861,46.80246,-0.1268152,-2.32E-02,0.2907111,2.50E-02,5.25E-03,0.1786007,-5.56E-05,1.35E-03,2.52E-04,3.63E-03,5.64E-03,0.1279756,2.31E-03,0.4680246,-1.27E-03,-2.32E-04,2.91E-03,0.6144925,0.3650308,1.520026,0.7068873,0.8217623,1.252881,0.9580448,0.9452516,1.000649,0.882145,0.8838996,0.8567939,0.7502444,0.7658285,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,434,-183,171,826,128,9218,-6,125,22,294,189,1477,3628,1038,55,-432,9166,3629,-16,-360,-13,-203,154,176,144,218,111,95,122,267,60,65,78,177,57,447,116,458,64,325,163,223,37,85,164,71,347,89,0.28,0.29,0.31,1.58,2.02,2.16,0.69,0.55,0.19,0.26,0.25,2.71,0.51,2.53,0.37,2.37,0.49,2.71,0.91,2.59,0.31,1.54,0.24,1.58,30,0,0,1.35,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,4
"Grid Spectrum(8,5)",,,-0.398,-0.2275,0.0163246,0.0125933,7.972641,0.8923041,35.78452,0.1143003,0.3623672,4.73E-02,0.4619019,0.4034263,10.08994,-3.77E-02,53.25618,0.591462,0.4293823,0.187266,110.5553,15.92265,1.528129,53.65307,0.1016168,0.3094932,3.66E-02,0.3455606,0.189968,4.654907,-1.65E-02,22.87507,0.2416612,0.1108645,4.68E-02,4.810736,0.3300071,56.22105,8.07E-02,0.2970853,0.0590415,0.4408212,0.3812268,10.12815,-3.31E-02,47.08078,0.5057747,0.3209018,0.1428624,0.0222357,3.30E-03,0.201783,5.95E-04,2.40E-03,3.50E-04,3.87E-03,3.81E-03,0.1012815,-3.31E-04,0.4708079,5.06E-03,3.21E-03,1.43E-03,0.6033618,0.3698396,1.571502,0.7062364,0.819845,1.248252,0.9543606,0.9449724,1.003787,0.879371,0.8839852,0.855126,0.7473564,0.7628847,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,497,-337,244,736,81,10414,63,221,30,314,128,1463,2871,1123,-8,-847,9220,4676,62,-323,174,-180,76,148,150,229,119,96,125,283,61,70,80,180,55,463,104,492,61,357,165,248,38,90,172,73,354,91,0.34,0.32,0.31,1.49,2.48,2.24,0.31,0.29,0.39,0.57,0.48,2.41,0.68,2.26,0.7,1.97,0.77,1.94,0.78,2.22,0.43,1.83,0.44,1.73,30,0,0,1.35,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,4
"Grid Spectrum(9,5)",,,-0.398,-0.2275,0.0279851,0.0125933,6.411757,2.176765,33.35322,0.1713946,0.4163334,4.35E-02,0.1459277,0.1114929,4.938995,0.5560267,62.65782,0.2469534,0.3239518,0.4643092,112.0185,13.20414,3.843958,51.56524,0.1571213,0.3666599,3.47E-02,0.1125724,5.41E-02,2.349529,0.2503427,27.75157,0.1040435,8.62E-02,0.119707,3.769273,0.8285161,51.87115,0.1190498,0.337284,5.39E-02,0.1387486,0.1082848,5.151755,0.4928974,56.18844,0.2122473,0.2408536,0.3529127,1.74E-02,8.29E-03,0.1861708,8.77E-04,2.72E-03,3.19E-04,1.22E-03,1.08E-03,5.15E-02,4.93E-03,0.5618844,2.12E-03,2.41E-03,3.53E-03,0.5881671,0.3807181,1.555113,0.6945962,0.8101307,1.238714,0.9508035,0.9712253,1.043092,0.886461,0.8966289,0.8594621,0.7434853,0.7600802,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,322,24,25,577,202,9608,93,251,28,99,36,1822,1460,1464,117,-496,11004,5452,26,-360,130,-149,187,79,132,194,95,88,118,280,64,70,82,173,54,440,84,492,55,366,178,256,40,91,171,68,343,85,0.38,0.39,0.41,1.21,1.52,1.31,0.61,0.32,0.31,1.42,0.8,1.69,0.94,1.45,1.71,1.47,1.51,1.76,0.42,2.52,1.15,1.25,1.17,1.25,30,0,0,1.35,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(10,5)",,,-0.398,-0.2275,0.0396455,0.0125933,6.295416,0.1779368,34.02809,0.214083,0.2773872,8.76E-02,0.4695672,0.4417063,8.866393,0.1933612,54.99472,0.3791109,0.602129,0.1050218,107.1325,13.50698,0.3273659,54.80972,0.2044659,0.2545126,7.29E-02,0.3773922,0.2234449,4.394302,9.07E-02,25.37663,0.1664052,0.1670162,2.82E-02,3.698174,6.77E-02,55.54957,0.1498186,0.2259522,0.1090308,0.4479248,0.4220464,9.020919,0.1712189,49.01735,0.3259258,0.4493491,8.01E-02,1.71E-02,6.77E-04,0.1993729,1.10E-03,1.82E-03,6.46E-04,3.94E-03,4.22E-03,9.02E-02,1.71E-03,0.4901735,3.26E-03,4.49E-03,8.01E-04,0.5874164,0.3803633,1.632664,0.6998152,0.8145729,1.244935,0.9539096,0.9554912,1.017429,0.885487,0.89128,0.8597111,0.7462667,0.7625471,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,389,-175,135,566,17,10290,117,168,56,319,141,1837,2557,1115,41,-758,9600,4791,40,-332,243,-110,42,62,143,217,111,89,119,282,63,69,80,170,55,446,102,487,60,354,167,246,39,89,167,69,338,86,0.06,0.06,0.07,0.77,1.45,1.51,1.25,0.18,0.25,0.21,0.52,1.72,0.3,1.62,0.72,1.68,0.89,2.05,0.54,2.22,0.35,1.02,0.34,0.95,30,0,0,1.35,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,4
